id,firstName,lastName,adp,projectedPoints,positionRank,slotName,teamName,lineupStatus,byeWeek,rank
e99cce18-03a3-4dec-ba7e-519fc87858a6,Hollywood,Brown,137.3,0,WR62,WR,Kansas City Chiefs,,,137.3
af2a951b-8e73-47c8-93ae-6e8f507c3af4,Tua,Tagovailoa,137.9,220,QB20,QB,Miami Dolphins,,,137.9
d3c311ff-b399-46c3-8a6e-12a86bcb5204,Quentin,Johnston,138,91,WR63,WR,Los Angeles Chargers,,,138
bb605efb-42e2-4efb-8b45-8aa69153f149,Rico,Dowdle,138.3,115,RB41,RB,Dallas Cowboys,,,138.3
f926f55d-f9bc-4023-b40d-4f6676dff716,Colston,Loveland,139,109,TE16,TE,,,,139
92583ab2-abfc-4a1c-b3d7-ff954e3c0818,Romeo,Doubs,140,106,WR64,WR,Green Bay Packers,,,140
c03ee672-76dc-44e1-a519-6ed796029653,Anthony,Richardson,141.4,177,QB21,QB,Indianapolis Colts,,,141.4
3eb06671-ab4a-4862-a687-1937dd66f89c,Bryce,Young,142.3,257,QB22,QB,Carolina Panthers,,,142.3
d0c60abb-fd31-4529-ac80-861f46a80598,Trey,Benson,142.9,100,RB42,RB,Arizona Cardinals,,,142.9
09b6ad9a-6115-4233-9877-db4e006ee41d,Jake,Ferguson,145.1,108,TE17,TE,Dallas Cowboys,,,145.1
2bb81c8f-3f31-4f1a-a73f-34ae5f3d05f5,Rachaad,White,145.1,86,RB43,RB,Tampa Bay Buccaneers,,,145.1
eb19861d-b82f-4367-aa89-f1613480ec8f,Kyle,Pitts,146.7,80,TE18,TE,Atlanta Falcons,,,146.7
c964fc97-bcfe-4980-9f4e-31c690639717,Jerome,Ford,148.1,110,RB44,RB,Cleveland Browns,,,148.1
a31de3b7-8224-4a43-a393-622cb2fb95ab,J.J.,McCarthy,148.6,110,QB23,QB,Minnesota Vikings,,,148.6
d907807c-f5b6-4d19-8bde-8a4f733e86fc,Dylan,Sampson,150.5,87,RB45,RB,,,,150.5
5efce562-8b46-4ff5-9534-740360ba59b0,Jalen,Coker,151.1,92,WR65,WR,Carolina Panthers,,,151.1
985e271f-a9ff-4ed0-943f-569b1d8cc4d1,Cam,Ward,153.1,182,QB24,QB,,,,153.1
8a2f104f-f640-4830-bf69-138da4084f41,Isaiah,Bond,153.2,115,WR66,WR,,,,153.2
ea27d3a9-3784-4191-a651-6ec9a2ada609,Blake,Corum,154.2,119,RB46,RB,Los Angeles Rams,,,154.2
346e3ea0-a5b8-4624-8a5a-82b89b01cb14,Cedric,Tillman,155.3,98,WR67,WR,Cleveland Browns,,,155.3
aec8f68c-afed-41ec-a72c-08eed688d536,Ray,Davis,157.2,70,RB47,RB,Buffalo Bills,,,157.2
ca6a9c85-5513-46c5-987d-8d97d082ff09,Ollie,Gordon II,157.4,61,RB48,RB,,,,157.4
c827b1db-2654-431b-8b4c-f00d09d6f2cc,Amari,Cooper,158.3,95,WR68,WR,Buffalo Bills,,,158.3
ece3829e-ab2b-492f-8d4a-f612ff56dfdd,Jaylen,Wright,158.5,85,RB49,RB,Miami Dolphins,,,158.5
9e67d5a9-9c4e-44a7-940a-4cb1c9802c7d,Cade,Otton,158.7,93,TE19,TE,Tampa Bay Buccaneers,,,158.7
66c73bf4-5cf4-4b45-ba90-7957345129dd,Justin,Fields,162.3,117,QB25,QB,Pittsburgh Steelers,,,162.3
